GeneCard,Gene Name,Locus,Disorders
,,,"Autoimmune disease, susceptibility to, 4"
,,,
AIS,Adolescent idiopathic scoliosis ,19p13.3,
,,,"Scoliosis, idiopathic 1"
,,,
AITD1,"Autoimmune thyroid disease, susceptibility to, 1 ",6p11,
,,,"Autoimmune thyroid disease, susceptibility to, 1"
,,,
AITD2,"Autoimmune thyroid disease, susceptibility to, 2 ",5q31-q33,
,,,"Autoimmune thyroid disease, susceptibility to, 2"
,,,
AITD4,"Autoimmune thyroid disease, susceptibility to, 4 ",10q,
,,,"Autoimmune thyroid disease, susceptibility to, 4"
,,,
AK1,adenylate kinase 1 ,9q34.1,
,,,Hemolytic anemia due to adenylate kinase deficiency [MIM:612631]
,,,
AK2,adenylate kinase 2 ,1p34,
,,,Reticular dysgenesis [MIM:267500]
,,,
AKAP10,A kinase (PRKA) anchor protein 10 ,17p11.1,
,,,"Cardiac conduction defect, susceptibility to [MIM:115080]"
,,,
AKAP13,A kinase (PRKA) anchor protein 13 ,15q24-q25,
,,,mutations
,,,
AKAP2,A kinase (PRKA) anchor protein 2 ,9q31-q33,
,,,mutations
,,,
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9 ,7q21-q22,
,,,Long QT syndrome-11 [MIM:611820]
,,,
AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase) ",7q35,
,,,mutations
,,,
AKR1C2,"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III) ",10p15-p14,
,,,"Obesity, hyperphagia, and developmental delay"
,,,
AKR1C3,"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) ",10p15-p14,
,,,mutations
,,,
AKR1C4,"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) ",10p15-p14,
,,,mutations
,,,
AKR1D1,"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) ",7q32-q33,
,,,"Bile acid synthesis defect, congenital, 2 [MIM:235555]"
,,,
AKR7A2,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) ",?,
,,,mutations
,,,
AKR7A3,"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) ",?,
,,,mutations
,,,
AKT1,v-akt murine thymoma viral oncogene homolog 1 ,14q32.3,
,,,"Breast cancer, somatic [MIM:114480]"
,,,"Colorectal cancer, somatic [MIM:114500]"
,,,"Ovarian cancer, somatic [MIM:604370]"
,,,"Schizophrenia, susceptibility to [MIM:181500]"
,,,
AKT2,v-akt murine thymoma viral oncogene homolog 2 ,19q13.1-q13.2,
,,,"Diabetes mellitus, type II [MIM:125853]"
,,,
AKT3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma) ",1q44,
,,,mutations
,,,
ALAD,aminolevulinate dehydratase ,9q34,
,,,"Porphyria, acute hepatic [MIM:612740]"
,,,"Lead poisoning, susceptibility to [MIM:612740]"
,,,
ALAS2,"aminolevulinate, delta-, synthase 2 ",Xp11.21,
,,,"Anemia, sideroblastic, X-linked [MIM:300751]"
,,,"Protoporphyria, erythropoietic, X-linked dominant [MIM:300752]"
,,,
ALB,albumin ,4q11-q13,
,,,Analbuminemia
,,,Dysalbuminemic hyperthyroxinemia
,,,Dysalbuminemic hyperzincemia [MIM:194470]
,,,
ALCAM,activated leukocyte cell adhesion molecule ,3q13.1-q13.2,
,,,mutations
,,,
ALDH16A1,"aldehyde dehydrogenase 16 family, member A1 ",19q13.33,
,,,mutations
,,,
ALDH18A1,"aldehyde dehydrogenase 18 family, member A1 ",10q24.3,
,,,"Mental retardation, joint hypermobility and skin laxity, with or without metabolic abnormalities [MIM:612652]"
,,,
ALDH1A1,"aldehyde dehydrogenase 1 family, member A1 ",9q21,
,,,mutations
,,,
ALDH1A2,"aldehyde dehydrogenase 1 family, member A2 ",15,
,,,mutations
,,,
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial) ,12q24.2,
,,,"Alcohol sensitivity, acute [MIM:610251]"
,,,"Hangover, susceptibility to [MIM:610251]"
,,,"Sublingual nitroglycerin, susceptibility to poor response to"
,,,"Esophageal cancer, alcohol-related, susceptibility to (3) 4"
,,,
ALDH3A2,"aldehyde dehydrogenase 3 family, member A2 ",17p11.2,
,,,Sjogren-Larsson syndrome [MIM:270200]
,,,
ALDH4A1,"aldehyde dehydrogenase 4 family, member A1 ",1p36,
,,,"Hyperprolinemia, type II [MIM:239510]"
,,,
ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 ",6p22,
,,,Succinic semialdehyde dehydrogenase deficiency [MIM:271980]
,,,
ALDH6A1,"aldehyde dehydrogenase 6 family, member A1 ",14q24.3,
,,,Methylmalonate semialdehyde dehydrogenase deficiency
,,,
ALDH7A1,"aldehyde dehydrogenase 7 family, member A1 ",5q31,
,,,"Epilepsy, pyridoxine-dependent [MIM:266100]"
,,,
ALDOA,"aldolase A, fructose-bisphosphate ",16p11.2,
,,,Glycogen storage disease XII [MIM:611881]
,,,
ALDOB,"aldolase B, fructose-bisphosphate ",9q22.3,
,,,Fructose intolerance [MIM:229600]
,,,
ALG10B,"asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog B (yeast) ",?,
,,,mutations
,,,
ALG10,"asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe) ",12p11.1,
,,,"Acquired long QT syndrome, reduced susceptibility to [MIM:152427]"
,,,
ALG11,"asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog (yeast) ",13q14.3,
,,,"Congenital disorder of glycosylation, type Ip [MIM:613661]"
,,,
ALG12,"asparagine-linked glycosylation 12, alpha-1,6-mannosyltransferase homolog (S. cerevisiae) ",22q13.33,
,,,"Congenital disorder of glycosylation, type Ig [MIM:607143]"
,,,
ALG1,"asparagine-linked glycosylation 1, beta-1,4-mannosyltransferase homolog (S. cerevisiae) ",16p13.3,
,,,"Congenital disorder of glycosylation, type Ik [MIM:608540]"
,,,
ALG2,"asparagine-linked glycosylation 2, alpha-1,3-mannosyltransferase homolog (S. cerevisiae) ",9q22,
,,,"Congenital disorder of glycosylation, type Ii [MIM:607906]"
,,,
ALG3,"asparagine-linked glycosylation 3, alpha-1,3- mannosyltransferase homolog (S. cerevisiae) ",3q27,
,,,"Congenital disorder of glycosylation, type Id [MIM:601110]"
,,,
ALG6,"asparagine-linked glycosylation 6, alpha-1,3-glucosyltransferase homolog (S. cerevisiae) ",1p22.3,
,,,"Congenital disorder of glycosylation, type Ic [MIM:603147]"
,,,
ALG8,"asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae) ",11pter-p15.5,
,,,"Congenital disorder of glycosylation, type Ih [MIM:608104]"
,,,
ALG9,"asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cerevisiae) ",11q23,
,,,"Congenital disorder of glycosylation, type Il [MIM:608776]"
,,,
ALK,anaplastic lymphoma receptor tyrosine kinase ,2p23,
,,,"Neuroblastoma, susceptibility to, 3 [MIM:613014]"
,,,
ALL1,"Leukemia, acute lymphocytic, susceptibility to, 1 ",10q21,
,,,"Leukemia, acute lymphocytic, susceptibility to, 1"
,,,
ALL2,"Leukemia, acute lymphoblastic, susceptibility to, 2 ",7p12.2,
,,,"Leukemia, acute lymphoblastic, susceptibility to, 2"
,,,
ALMS1,Alstrom syndrome 1 ,2p13,
,,,Alstrom syndrome [MIM:203800]
,,,
ALOX12B,"arachidonate 12-lipoxygenase, 12R type ",17p13.1,
,,,"Ichthyosiform erythroderma, congenital, nonbullous, 1 [MIM:242100]"
,,,
ALOX12,arachidonate 12-lipoxygenase ,17p13.1,
,,,mutations
,,,
ALOX15,arachidonate 15-lipoxygenase ,17p13.3,
,,,mutations
,,,
ALOX5AP,arachidonate 5-lipoxygenase-activating protein ,13q12,
,,,"Stroke, susceptibility to [MIM:601367]"
,,,
ALOX5,arachidonate 5-lipoxygenase ,10q11.2,
,,,"Atherosclerosis, susceptibility to"
,,,"Asthma, diminished response to antileukotriene treatment in [MIM:600807]"
,,,
ALOXE3,arachidonate lipoxygenase 3 ,17p13.1,
,,,"Ichthyosiform erythroderma, congenital, nonbullous, 1 [MIM:242100]"
,,,
ALPL,"alkaline phosphatase, liver/bone/kidney ",1p36.1-p34,
,,,"Hypophosphatasia, infantile [MIM:241500]"
,,,"Hypophosphatasia, childhood [MIM:241510]"
,,,Odontohypophosphatasia [MIM:146300]
,,,"Hypophosphatasia, adult [MIM:146300]"
,,,
ALPQTL1,"Alkaline phosphatase, plasma level of, QTL1 ",9q34.13,
,,,"Alkaline phosphatase, plasma level of, QTL1"
,,,
ALPQTL2,"Alkaline phosphatase, plasma level of, QTL 2 ",1p36,
,,,"Alkaline phosphatase, plasma level of, QTL 2"
,,,
ALPQTL3,"Alkaline phosphatase, plasma level of, QTL3 ",6p22,
,,,"Alkaline phosphatase, plasma level of, QTL3"
,,,
ALPQTL4,"Alkaline phosphatase, plasma level of, QTL4 ",10q21,
,,,"Alkaline phosphatase, plasma level of, QTL4"
,,,
ALS2CL,ALS2 C-terminal like ,3p21.31,
,,,mutations
,,,
ALS2,amyotrophic lateral sclerosis 2 (juvenile) ,2q33,
,,,"Amyotrophic lateral sclerosis, juvenile [MIM:205100]"
,,,"Primary lateral sclerosis, juvenile [MIM:606353]"
,,,"Spastic paralysis, infantile onset ascending [MIM:607225]"
,,,
ALS3,amyotrophic lateral sclerosis 3 (autosomal dominant) ,18q21,
,,,Amyotrophic lateral sclerosis 3
,,,
ALS5,amyotrophic lateral sclerosis 5 ,15q15.1-q21.1,
,,,"Amyotrophic lateral sclerosis-5, juvenile recessive"
,,,
ALS7,amyotrophic lateral sclerosis 7 ,20p13,
,,,Amyotrophic lateral sclerosis 7
,,,
ALX1,ALX homeobox 1 ,12q21.3-q22,
,,,Frontonasal dysplasia 3 [MIM:613456]
,,,
ALX3,ALX homeobox 3 ,1p21-p13,
,,,Frontorhiny [MIM:136760]
,,,
ALX4,ALX homeobox 4 ,11p11.2,
,,,Parietal foramina 2 [MIM:609597]
,,,Frontonasal dysplasia 2 [MIM:613451]
,,,
AMACR,alpha-methylacyl-CoA racemase ,5p13.2-q11.1,
,,,Alpha-methylacyl-CoA racemase deficiency
,,,"Bile acid synthesis defect, congenital, 4 [MIM:214950]"
,,,
AMCD2B,"arthrogryposis multiplex congenita, distal, type 2B ",11p15.5,
,,,"Arthyrgryposis, distal, type 2B [MIM:601680]"
,,,
AMCN,"arthrogryposis multiplex congenita, neurogenic ",5q35,
,,,"Arthrogryposis multiplex congenita, neurogenic"
,,,
AMELX,"amelogenin, X-linked ",Xp22.3-p22.1,
,,,"Amelogenesis imperfecta, hypoplastic/hypomaturation type [MIM:301200]"
,,,
AMELY,"amelogenin, Y-linked ",Yp11,
,,,mutations
,,,
AMHR2,"anti-Mullerian hormone receptor, type II ",12q13,
,,,"Persistent Mullerian duct syndrome, type II [MIM:261550]"
,,,
AMH,anti-Mullerian hormone ,19p13.3-p13.2,
,,,"Persistent Mullerian duct syndrome, type I [MIM:261550]"
,,,
AMLCR2,acute myeloid leukemia chromosome region 2 ,16q22,
,,,"Leukemia, acute myelogenous [MIM:601626]"
,,,
AMMEC,"Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis ",Xq22.3,
,,,"Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis"
,,,
AMN,amnionless homolog (mouse) ,14q32,
,,,"Megaloblastic anemia-1, Norwegian type [MIM:261100]"
,,,
AMPD1,adenosine monophosphate deaminase 1 ,1p21-p13,
,,,Myoadenylate deaminase deficiency
,,,
AMPD3,adenosine monophosphate deaminase 3 ,11pter-p13,
,,,"AMP deaminase deficiency, erythrocytic [MIM:612874]"
,,,
AMRS,Alopecia-mental retardation syndrome ,3q26.3-q27.3,
,,,Alopecia with mental retardation syndrome 1
,,,
AMT,aminomethyltransferase ,3p21.2-p21.1,
,,,Glycine encephalopathy [MIM:605899]
,,,
ANAPC1,anaphase promoting complex subunit 1 ,?,
,,,mutations
,,,
ANBC,Aneurysmal bone cysts ,16q22,
,,,Aneurysmal bone cysts
,,,
ANCR,Angelman syndrome chromosome region ,15q11-q13,
,,,Angelman syndrome [MIM:105830]
,,,
ANC,Anal canal carcinoma ,11q22-qter,
,,,Anal canal carcinoma
,,,
ANGPT1,angiopoietin 1 ,8q22,
,,,mutations
,,,
ANGPTL3,angiopoietin-like 3 ,1p31,
,,,"Hypobetalipoproteinemia, familial, 2 [MIM:605019]"
,,,
ANGPTL4,angiopoietin-like 4 ,19p13.3,
,,,"Reduced triglycerides, susceptibility to"
,,,
ANGPTL5,angiopoietin-like 5 ,11q22,
,,,mutations
,,,
ANG,"angiogenin, ribonuclease, RNase A family, 5 ",14q11.2,
,,,Amyotrophic lateral sclerosis 9 [MIM:611895]
,,,
ANIB10,"Aneurysm, intracranial berry, 10 ",8q12.1,
,,,"Aneurysm, intracranial berry, 10"
,,,
ANIB1,"aneurysm, intracranial berry 1 ",7q11.2,
,,,"Aneurysm, intracranial berry, 1"
,,,
ANIB2,"aneurysm, intracranial berry 2 ",19q13,
,,,"Aneurysm, intracranial berry, 2"
,,,
ANIB3,"aneurysm, intracranial berry 3 ",1p36.13-p34.3,
,,,"Aneurysm, intracranial berry, 3"
,,,
ANIB4,"aneurysm, intracranial berry 4 ",5p15.2-p14.3,
,,,"Aneurysm, intracranial berry, 4"
,,,
ANIB5,"Aneurysm, intracranial berry, 5 ",2p15-q14,
,,,"Aneurysm, intracranial berry, 5"
,,,
ANIB6,"Aneurysm, intracranial berry, 6 ",9p21,
,,,"Aneurysm, intracranial berry, 6"
,,,
ANIB7,"Aneurysm, intracranial berry, 7 ",11q24-q25,
,,,"Aneurysm, intracranial berry, 7"
,,,
ANIB8,"Aneurysm, intracranial berry, 8 ",14q23,
,,,"Aneurysm, intracranial berry, 8"
,,,
ANIB9,"Aneurysm, intracranial berry, 9 ",2q33.1,
,,,"Aneurysm, intracranial berry, 9"
,,,
ANIC,"Anosmia, isolated congenital ",18p11.23-q12.2,
,,,"Anosmia, isolated congenital"
,,,
ANK1,"ankyrin 1, erythrocytic ",8p11.2,
,,,"Spherocytosis, type 1 [MIM:182900]"
,,,
ANK2,"ankyrin 2, neuronal ",4q25-q27,
,,,Long QT syndrome-4 [MIM:600919]
,,,"Cardiac arrhythmia, ankyrin-B-related [MIM:600919]"
,,,
ANK3,"ankyrin 3, node of Ranvier (ankyrin G) ",10q21,
,,,mutations
,,,
ANKH,"ankylosis, progressive homolog (mouse) ",5p15.2-p14.1,
,,,Craniometaphyseal dysplasia [MIM:123000]
,,,Chondrocalcinosis 2 [MIM:118600]
,,,
ANKK1,ankyrin repeat and kinase domain containing 1 ,11q23.2,
,,,"Dopamine receptor D2, reduced brain density of"
,,,
ANKRD11,ankyrin repeat domain 11 ,16q24.3,
,,,mutations
,,,
ANKRD1,ankyrin repeat domain 1 (cardiac muscle) ,?,
,,,mutations
,,,
ANKRD26,ankyrin repeat domain 26 ,10p12.1,
,,,mutations
,,,
ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A ,6p21.3,
,,,mutations
,,,
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B ,12q23.1,
,,,mutations
,,,
ANMA,Anisomastia ,16q13-q21,
,,,Anisomastia
,,,
ANO10,anoctamin 10 ,3p22.1,
,,,mutations
,,,
ANO5,anoctamin 5 ,11p14.3,
,,,Gnathodiaphyseal dysplasia [MIM:166260]
,,,"Muscular dystrophy, limb-girdle, type 2L [MIM:611307]"
,,,Miyoshi muscular dystrophy 3 [MIM:613319]
,,,
ANO6,anoctamin 6 ,12q12,
,,,Scott syndrome [MIM:262890]
,,,
ANO7,anoctamin 7 ,2q37.3,
,,,mutations
,,,
ANON1,"Anorexia nervosa, susceptibility to, 1 ",1p,
,,,"Anorexia nervosa, susceptibility to"
,,,
ANOP1,"anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities) ",Xq27-q28,
,,,"Microphthalmia, syndromic 4"
,,,
ANTXR1,anthrax toxin receptor 1 ,2p13.1,
,,,"Hemangioma, capillary infantile, susceptibility to [MIM:602089]"
,,,
ANTXR2,anthrax toxin receptor 2 ,4q21,
,,,"Fibromatosis, juvenile hyaline [MIM:228600]"
,,,"Hyalinosis, infantile systemic [MIM:236490]"
,,,
ANXA11,annexin A11 ,10q22.3-q23.1,
,,,mutations
,,,
ANXA5,annexin A5 ,4q26-q28,
,,,mutations
,,,
AN,blood group Ahonen ,?,
,,,mutations
,,,
AOAH,acyloxyacyl hydrolase (neutrophil) ,7p14-p12,
,,,mutations
,,,
AOCH,"Acromegaloid features, overgrowth, cleft palate, and hernia ",11,
,,,"Acromegaloid features, overgrowth, cleft palate, and hernia"
,,,
AOMS1,Abdominal obesity-metabolic syndrome QTL1 ,3q27,
,,,Abdominal obesity-metabolic syndrome
,,,
AOMS2,abdominal obesity-metabolic syndrome QTL2 ,17p12,
,,,Abdominal obesity-metabolic syndrome
,,,
AP1S1,"adaptor-related protein complex 1, sigma 1 subunit ",7q22.1,
,,,mutations
,,,
AP1S2,"adaptor-related protein complex 1, sigma 2 subunit ",Xp22,
,,,"Mental retardation, X-linked 59 [MIM:300630]"
,,,
AP3B1,"adaptor-related protein complex 3, beta 1 subunit ",5q14.1,
,,,Hermansky-Pudlak syndrome 2 [MIM:608233]
,,,
AP3B2,"adaptor-related protein complex 3, beta 2 subunit ",15q,
,,,mutations
,,,
AP4B1,"adaptor-related protein complex 4, beta 1 subunit ",1p13.2,
,,,mutations
,,,
AP4E1,"adaptor-related protein complex 4, epsilon 1 subunit ",15q21.2,
,,,mutations
,,,
AP4M1,"adaptor-related protein complex 4, mu 1 subunit ",7q22.1,
,,,"Cerebral palsy, spastic quadriplegic, 3 [MIM:612936]"
,,,
AP4S1,"adaptor-related protein complex 4, sigma 1 subunit ",14q12,
,,,mutations
,,,
AP5Z1,"adaptor-related protein complex 5, zeta 1 subunit ",7p22.1,
,,,"Spastic paraplegia 48, autosomal recessive [MIM:613647]"
,,,
APAF1,apoptotic peptidase activating factor 1 ,12q23,
,,,mutations
,,,
APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2 ",15q,
,,,mutations
,,,
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65) ",11p15,
,,,mutations
,,,
APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2 ",4p14,
,,,"Alzheimer disease, late-onset [MIM:104300]"
,,,
APBB3,"amyloid beta (A4) precursor protein-binding, family B, member 3 ",5q31,
,,,mutations
,,,
APCDD1,adenomatosis polyposis coli down-regulated 1 ,18p11,
,,,mutations
,,,
APCS,"amyloid P component, serum ",1q21-q23,
,,,"Amyloidosis, secondary, susceptibility to"
,,,
APC,adenomatous polyposis coli ,5q21-q22,
,,,Adenomatous polyposis coli [MIM:175100]
,,,"Gastric cancer, somatic [MIM:613659]"
,,,"Adenoma, periampullary, somatic"
,,,"Hepatoblastoma, somatic [MIM:114550]"
,,,"Desmoid disease, hereditary [MIM:135290]"
,,,Gardner syndrome
,,,"Colorectal cancer, somatic [MIM:114500]"
,,,Brain tumor-polyposis syndrome 2
,,,
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1 ,14q12,
,,,mutations
,,,
APH1A,anterior pharynx defective 1 homolog A (C. elegans) ,1p36.13-q31.3,
,,,mutations
,,,
APH1B,anterior pharynx defective 1 homolog B (C. elegans) ,15q22.2,
,,,mutations
,,,
APLNR,apelin receptor ,11q12,
,,,mutations
,,,
APMR2,Alopecia with mental retardation syndrome 2 ,3q26.2-q26.31,
,,,Alopecia with mental retardation syndrome 2
,,,
APOA1,apolipoprotein A-I ,11q23,
,,,"ApoA-I and apoC-III deficiency, combined"
,,,Hypoalphalipoproteinemia [MIM:604091]
,,,"Corneal clouding, autosomal recessive"
,,,"Amyloidosis, 3 or more types [MIM:105200]"
,,,
APOA2,apolipoprotein A-II ,1q21-q23,
,,,Apolipoprotein A-II deficiency
,,,"Hypercholesterolemia, familial, modification of [MIM:143890]"
,,,
APOA4,apolipoprotein A-IV ,11q23,
,,,mutations
,,,
APOA5,apolipoprotein A-V ,11q23,
,,,"Hypertriglyceridemia, susceptibility to [MIM:145750]"
,,,"Hyperchylomicronemia, late-onset [MIM:144650]"
,,,
APOBEC3B,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B ",22q13,
,,,mutations
,,,
APOBEC3G,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G ",22q12-q13.2,
,,,mutations
,,,
APOBEC3H,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H ",22q13.1,
,,,mutations
,,,
APOB,apolipoprotein B (including Ag(x) antigen) ,2p24,
,,,Hypobetalipoproteinemia
,,,"Hypobetalipoproteinemia, normotriglyceridemic"
,,,"Hypercholesterolemia, due to ligand-defective apo B [MIM:144010]"
,,,
APOC1,apolipoprotein C-I ,19q13.2,
,,,mutations
,,,
APOC2,apolipoprotein C-II ,19q13.2,
,,,"Hyperlipoproteinemia, type Ib [MIM:207750]"
,,,
APOC3,apolipoprotein C-III ,11q23,
,,,Apolipoprotein C3 deficiency
,,,
APOC4,apolipoprotein C-IV ,19q13.2,
,,,mutations
,,,
APOD,apolipoprotein D ,3q26.2-qter,
,,,mutations
,,,
APOE,apolipoprotein E ,19q13.2,
,,,"Hyperlipoproteinemia, type III"
,,,Myocardial infarction susceptibility
,,,Sea-blue histiocyte disease [MIM:269600]
,,,Alzheimer disease-2 [MIM:104310]
,,,"Macular degeneration, age-related [MIM:603075]"
,,,Lipoprotein glomerulopathy [MIM:611771]
,,,
APOH,apolipoprotein H (beta-2-glycoprotein I) ,17q23-qter,
,,,deficiency of production of apo-H dependent antiphospholipid autoantibody
,,,
APOL1,"apolipoprotein L, 1 ",22q12.3,
,,,"Glomerulosclerosis, focal segmental, 4, susceptibility to [MIM:612551]"
,,,"End-stage renal disease, nondiabetic, susceptibility to [MIM:612551]"
,,,
APOL2,"apolipoprotein L, 2 ",22q12.3,
,,,Schizophrenia [MIM:181500]
,,,
APOL3,"apolipoprotein L, 3 ",22q12.3,
,,,mutations
,,,
APOL4,"apolipoprotein L, 4 ",22q12.3,
,,,Schizophrenia [MIM:181500]
,,,
APOM,apolipoprotein M ,?,
,,,mutations
,,,
APP,amyloid beta (A4) precursor protein ,21q21,
,,,"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants [MIM:605714]"
,,,"Alzheimer disease 1, familial [MIM:104300]"
,,,"Dementia, early-onset progressive, autosomal recessive"
,,,
APRT,adenine phosphoribosyltransferase ,16q24.3,
,,,"Urolithiasis, 2,8-dihydroxyadenine"
,,,
APTX,aprataxin ,9p13.3,
,,,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia [MIM:208920]"
,,,Coenzyme Q10 deficiency [MIM:607426]
,,,
AQP1,aquaporin 1 (Colton blood group) ,7p14,
,,,"Blood group, Colton [MIM:110450]"
,,,Aquaporin-1 deficiency
,,,
AQP2,aquaporin 2 (collecting duct) ,12q13,
,,,"Diabetes insipidus, nephrogenic [MIM:125800]"
,,,
AQP3,aquaporin 3 (Gill blood group) ,9p13,
,,,Blood group GIL [MIM:607457]
,,,
AQP4,aquaporin 4 ,18q11.2-q12.1,
,,,mutations
,,,
AQP5,aquaporin 5 ,12q13,
,,,mutations
,,,
AQP7,aquaporin 7 ,9p13,
,,,mutations
,,,
AQP9,aquaporin 9 ,15q22,
,,,"Glycerol release during exercise, defective"
,,,
ARCC1,Age-related cortical cataract 1 ,6p12-q12,
